n  time in seconds  nu1  nu2  gamma 
4  0.00100454       1    1    2      
4  0.000812458      2    1    2      
4  0.000943583      3    1    2      
4  0.000829         4    1    2      
4  0.000766458      5    1    2      
4  0.000759         6    1    2      
4  0.000738208      7    1    2      
4  0.000763625      8    1    2      
4  0.000646209      9    1    2      
4  0.00066425       10   1    2      
4  0.000586875      11   1    2      
4  0.000605208      12   1    2      
4  0.00059675       13   1    2      
4  0.000653166      14   1    2      
4  0.000622666      15   1    2      
4  0.000656542      16   1    2      
4  0.000632459      17   1    2      
4  0.000545333      18   1    2      
4  0.000557583      19   1    2      
4  0.000580125      20   1    2      
4  0.000606125      21   1    2      
4  0.000578833      22   1    2      
4  0.000577042      23   1    2      
4  0.0005955        24   1    2      
4  0.000651417      25   1    2      
4  0.000608834      26   1    2      
4  0.000609708      27   1    2      
4  0.000625542      28   1    2      
4  0.000642666      29   1    2      
4  0.000515125      30   1    2      
4  0.000540958      31   1    2      
4  0.000525541      32   1    2      
4  0.00053175       33   1    2      
4  0.000540375      34   1    2      
4  0.000544125      35   1    2      
4  0.000555792      36   1    2      
4  0.000586916      37   1    2      
4  0.000593875      38   1    2      
4  0.00057125       39   1    2      
4  0.000606292      40   1    2      
4  0.000580291      41   1    2      
4  0.000734625      42   1    2      
4  0.000588584      43   1    2      
4  0.000662125      44   1    2      
4  0.000608375      45   1    2      
4  0.000611334      46   1    2      
4  0.000626334      47   1    2      
4  0.000651667      48   1    2      
4  0.000633333      49   1    2      
4  0.000629958      50   1    2      
